Distrito,Extranjeros,Densidad de población (p / hm²),Valor por m²,Porcentaje +65 años,Frec Prostitucion
Ciutat Vella,0.140350877192982,170.21037370180784,504.08152277946687,20.1656584082246,0.289473684210526
L'Eixample,0.0555555555555556,251.35732377869712,616.0364716241344,23.97043688868621,0.11904761904761911
EXTRAMURS,0.152671755725191,250.2168190739924,491.62636304154273,22.191161549335646,0.08396946564885491
Campanar,0.177966101694915,76.07421464819065,442.062998177079,23.489701781823364,0.0932203389830509
La Saidia,0.2421875,244.34773214809329,372.3421844839546,23.19893158662689,0.0390625
EL PLA DEL REAL,0.0,181.22105661090637,638.134024297425,24.461369998473863,0.2478632478632474
L'Olivereta,0.230769230769231,249.3161705551086,339.0683170007518,21.06335957874321,0.0846153846153847
Patraix,0.308823529411765,203.06408042775985,412.4637234194792,21.43292970497295,0.3970588235294119
Jesus,0.218045112781955,176.1871735335605,362.40996876226,20.82437279119739,0.0601503759398496
Quatre Carreres,0.19047619047619102,67.61193160044573,385.3164577552552,19.96600841558338,0.09523809523809527
Poblats Maritims,0.186567164179104,140.91917511218676,335.1064655808826,20.47548436980336,0.126865671641791
Camins al Grau,0.178571428571429,279.8442047811559,455.1115799628196,19.22622408313089,0.0571428571428571
Algiros,0.05932203389830511,121.04325845924056,434.5744506964368,25.658768888830103,0.1271186440677967
Benimaclet,0.140350877192982,180.3297480083297,421.983773870142,23.941019823424774,0.00877192982456141
Rascanya,0.28030303030303,207.7254622989984,399.9845462014807,17.04918147244413,0.0909090909090909
Benicalap,0.234375,219.8063054525105,365.884949145886,18.91831251469325,0.0234375
POBLATS DEL NORD,0.0537634408602151,5.219511787745423,246.7993186318843,22.92054519810043,0.182795698924731
POBLATS DE L'OEST,0.153846153846154,73.38163122224819,344.4741089366205,17.93707185616551,0.02884615384615382
POBLATS DEL SUD,0.141592920353982,3.251459772006438,324.95397864033487,20.847012370400464,0.0353982300884956
