Distrito,Media
Total,1875.0704115324138
1. Ciutat Vella,2741.228070175437
2. l'Eixample,1908.7301587301613
3. Extramurs,2022.900763358778
4. Campanar,993.6440677966093
5. la Saïdia,0.0
6. el Pla del Real,2525.6410256410263
7. l'Olivereta,2275.0
8. Patraix,3200.367647058825
9. Jesús,1979.3233082706793
10. Quatre Carreres,3093.537414965983
11. Poblats Marítims,309.7014925373137
12. Camins al Grau,1449.9999999999982
13. Algirós,2277.542372881359
14. Benimaclet,1513.157894736844
15. Rascanya,3842.8030303030314
16. Benicalap,238.28125
17. Pobles del Nord,2338.7096774193524
18. Pobles de l'Oest,0.0
19. Pobles del Sud,1057.5221238938043
